epoch,step,total_train_loss,real_train_loss,rec_train_loss,contra_train_loss,real_train_acc,rec_train_acc,real_train_top5,rec_train_top5,total_val_loss,real_val_loss,rec_val_loss,contra_val_loss,real_val_acc,rec_val_acc,real_val_top5,rec_val_top5,sav_version
0,1266,0.445770972842383,0.12012766558518059,0.32564330729545576,0.7753095018543527,0.9677589356240114,0.9420887638230643,0.9870730166226787,0.7756474390742931,0.9305084158073772,0.4110289426012473,0.4394891731666796,0.7999029836871407,0.9190641389860138,0.9168505973193471,0.7585149226685719,0.6782938659757157,1
1,2532,0.3137726190472007,0.06828264299284308,0.24548997595835637,0.7829363762767394,0.9786921159162708,0.9519302922590837,0.9873731222938125,0.7670125135370156,0.8441377395030224,0.37197812155566434,0.39217590789000195,0.7998370474035089,0.9234966856060605,0.9198271780303031,0.7622320757950153,0.6649213896898233,2
2,3798,0.2957903962423451,0.06248705863723116,0.23330333818038587,0.7835700024643215,0.9803206457345958,0.9532669332543431,0.9888093833598501,0.7668691029129666,0.8385313031348315,0.3857002200728113,0.37288391115990555,0.7994717666597078,0.9254379734848485,0.9237598339160839,0.7606698591993986,0.6869305982046777,3
3,5064,0.2855735228619116,0.059387801554919135,0.2261857210965989,0.7835883320225359,0.981100044431279,0.9541080420616118,0.9899310617351468,0.769326455341329,0.8121910447424109,0.36499066978241457,0.3673125437714837,0.7988782805023771,0.9279547275641027,0.9229239510489511,0.7636854414431811,0.6588159644324149,4
4,6330,0.28083674442523276,0.057048343506010506,0.2237884007088287,0.7822126398719318,0.9818399486571877,0.9541987559241705,0.9906363237227133,0.7669202123765004,0.7722138888908155,0.3483998188466737,0.3442520492456176,0.7956201840530742,0.930965909090909,0.9273364656177159,0.7576785332435817,0.6740124103630396,5
5,7596,0.27456097276572367,0.054415289912884836,0.22014568314121044,0.7739876056263609,0.9826113250394946,0.9546850315955764,0.9906966348937315,0.7688535255655697,0.7620994362867239,0.34815886407864816,0.33609552071853116,0.77845052968372,0.9336556672494176,0.9319192526223776,0.7782907589420749,0.6851802505353745,6
6,8862,0.26467733091629136,0.05098173077149084,0.21369560004033936,0.7701565916598502,0.983800478870458,0.9560124160742487,0.9911026624730821,0.7703372624999085,0.7305834013404269,0.33055359153359226,0.3228642132246133,0.7716559126521602,0.9373697916666668,0.9332604895104897,0.780063584165702,0.7025690315896599,7
7,10128,0.2584014533832081,0.04958368411749649,0.208817769174492,0.7649911792734034,0.9842046800947869,0.9568849970379149,0.9917133689117377,0.7762044523411907,0.7005393369631334,0.3137776284958377,0.31064244856437045,0.7611926667618029,0.9383012820512825,0.9352573208041959,0.7997713616237205,0.6953376856628111,8
8,11394,0.2568238243625439,0.048487674659721286,0.2083361495762922,0.75850162169003,0.9845916024881523,0.9568590787914705,0.9921228729334661,0.774595085447155,0.6974144167069233,0.31038489136280434,0.31234441562132403,0.7468511227405432,0.9394066870629371,0.9342684659090907,0.7937345742213867,0.6920156571226317,9
9,12660,0.251967952708827,0.04752855862845412,0.20443939431577826,0.7513276432739426,0.9847403238546617,0.9574533471563993,0.9923752267199987,0.7784478737648322,0.6880258759765914,0.31192764092349645,0.302125150958697,0.7397308765035687,0.9391180434149184,0.9343467730186481,0.8050753197343774,0.7166549173533575,10
10,13926,0.2515211322272747,0.04679450503363617,0.20472662744081416,0.7430300171153053,0.9850562796208548,0.9574564326619258,0.992148223513872,0.7756404000817171,0.6672680522456313,0.2957112923490279,0.2990667754502008,0.7248998175967823,0.9398838141025639,0.9344041375291375,0.7902827982621596,0.6879710012704712,11
11,15192,0.24916670480257527,0.04605425518641681,0.20311244974416015,0.7294820205766066,0.9851988299763053,0.9574922245260664,0.9928456446611802,0.7759825068172966,0.645044867739533,0.2889398871497674,0.28686339317849185,0.6924158686941321,0.9427693400349649,0.937051099941725,0.8001742686043665,0.7048538129394758,12
12,16458,0.24192903957095757,0.0436206739292867,0.19830836542833472,0.7139250797118056,0.9859745260663515,0.9584690955766193,0.9933182718578033,0.7814721265262841,0.6309078268029473,0.26600045507604425,0.2968921855543599,0.6801518183765989,0.9469678758741258,0.9374608464452212,0.8188917660880797,0.6924751050137806,13
13,17724,0.23619224261168809,0.041526703701735626,0.19466553902397693,0.7099223243775903,0.9867057908767777,0.9593293345181683,0.9931364903920495,0.786135981931972,0.6042185665080042,0.2620343482404044,0.275257680226456,0.6692653758959337,0.9490794361888115,0.9400449810606062,0.8152452792957166,0.700154907256524,14
14,18990,0.22943763997505814,0.03958393196247247,0.18985370811704683,0.6993846689449479,0.9873833678909963,0.960442584913111,0.9937007936620765,0.789664057561959,0.595898421424808,0.2554987113584172,0.2760425907644359,0.6435711907617974,0.9500974286130535,0.9411075903263407,0.8240611639360629,0.7151577733032565,15
15,20256,0.22582343790686055,0.03831697391760999,0.1875064640584009,0.6922775482961917,0.9877499259478675,0.9606561018957367,0.9938255613530682,0.7928077924872886,0.5585392799341318,0.2332105479400718,0.2628485249976317,0.6248020918080301,0.9528937208624709,0.9428230623543128,0.8525929169966605,0.7202553498483687,16
16,21522,0.2232974749146762,0.03696456615479095,0.18633290867234387,0.6810336364389031,0.9880837776461293,0.9608788753949447,0.994304433042847,0.7932145077827235,0.5633550597862764,0.2305717711534464,0.27245674033959705,0.6032654850771932,0.9539308347902097,0.9422029793123544,0.8623200476551377,0.7212983764169696,16
17,22788,0.2210387374270019,0.03599243699742178,0.18504630022433602,0.6718784714291258,0.9883639415481834,0.9610806674565538,0.9943761466900595,0.793844961274967,0.5566345791925084,0.22906945211191973,0.26852324243747827,0.5904188314170549,0.9538361378205129,0.9424114947552449,0.8518989144160014,0.7239809964549677,17
18,24054,0.21585769943692862,0.034878603610140974,0.18097909562301484,0.6659421465031532,0.9886120161927343,0.9616397610584506,0.9951197482864912,0.797351981585742,0.5316490964456038,0.2214700888955232,0.25261245238961594,0.575665558829452,0.9560196314102564,0.9446314102564101,0.870640904591054,0.7417554363392903,18
19,25320,0.21341471834840933,0.03441529682547584,0.17899942151093334,0.6553649933888073,0.9887841874012651,0.9619600365323855,0.9947463995758965,0.8003735971211243,0.5212957908709844,0.2116536751502391,0.2535637927552064,0.5607832756006357,0.9564202724358974,0.9450129297785548,0.8676664563765809,0.740018918359543,19
20,26586,0.21173986637785347,0.03355766614673933,0.1781822002300107,0.6465489612818706,0.9890915037519754,0.9621426984597141,0.9948210181803685,0.8009159012510525,0.5064132367119645,0.20109926971296468,0.2510258167079001,0.5428815104744651,0.9589415792540794,0.9456512237762238,0.8708994833159919,0.7427949269636164,20
