epoch,step,total_train_loss,real_train_loss,rec_train_loss,contra_train_loss,real_train_acc,rec_train_acc,real_train_top5,rec_train_top5,total_val_loss,real_val_loss,rec_val_loss,contra_val_loss,real_val_acc,rec_val_acc,real_val_top5,rec_val_top5,sav_version
0,1266,0.49949825392656416,0.1163523041688812,0.38314594975768296,0.7075043784404441,0.9635175997235386,0.9312080371248025,0.9817606243128776,0.7433556976436463,1.3384881805289874,0.6133223783337709,0.6595388221921343,0.6562697047537024,0.8802283653846156,0.8866814175407929,0.7947022052972869,0.5975400310458115,1
1,2532,0.4315818509831436,0.099826047304388,0.33175580404804783,0.6213097104929258,0.9694393019352304,0.93702174664297,0.9796512734242122,0.7388938523420647,1.0922479381163914,0.49257814494723623,0.543636959159013,0.5603283539865956,0.9038315850815848,0.9026023455710953,0.824688140116617,0.6147622274457263,2
2,3798,0.4070419730915795,0.09253440305846633,0.3145075707474214,0.5777555568758722,0.9718157582938383,0.938760120458138,0.9804776370987962,0.7441539136061968,0.9267481213266199,0.4142929707286936,0.4606508628437013,0.5180429292447639,0.9188064539627041,0.9146224868881119,0.8468372478997199,0.668954808748974,3
3,5064,0.3861399136165872,0.08828453113741314,0.2978553821231234,0.5469162833022092,0.9729598637440748,0.9405990817535551,0.9817996089879222,0.7545088913554919,0.8598085917306669,0.3807437519232432,0.4330638495810104,0.46000991310134076,0.9233227709790212,0.9163315850815847,0.8650439387235883,0.6630991796468455,4
4,6330,0.37399253323321097,0.08500719965563566,0.2889853338424063,0.5270822381050477,0.9738793443917844,0.941536458333333,0.982723194979241,0.7616195750575259,0.8269154036586935,0.35651748971731373,0.42728775671937247,0.43110157910621527,0.9292795745920746,0.9182209717365968,0.8716806400773541,0.6623982645492593,5
5,7596,0.36560815377940686,0.08271527452884304,0.2828928794753024,0.5093805495808474,0.9744328840837299,0.9422800651658771,0.9838250388378955,0.7653875555561371,0.8534903178612391,0.3796336671168154,0.43350110722310614,0.40355544605038385,0.9255354020979021,0.9174133158508159,0.868294346352796,0.6894866919099233,5
6,8862,0.3598011850392649,0.0811140927306625,0.27868709219163534,0.4973910031678364,0.9749395240916273,0.9427879393759875,0.9842607682059468,0.7672134009501369,0.7867738595514586,0.34077808723756764,0.4093954269633149,0.36600342550964066,0.9333533653846158,0.9205119099650353,0.8827577904651932,0.6805715015393955,6
7,10128,0.35287988969929646,0.07937297127102935,0.2735069186533735,0.49127997545081104,0.9754079038309622,0.9434352784360193,0.9848792155492502,0.7723631852366509,0.7679047227808924,0.3344687766423731,0.3954740067323049,0.37961929630149494,0.9351180069930065,0.9225670163170161,0.8852061122841387,0.6989522415765949,7
8,11394,0.34607782006546217,0.07773504166320955,0.2683427787001876,0.4800636223377586,0.9758923281990528,0.9437839405608216,0.986173053371131,0.7785231253285472,0.7380645844069395,0.31392364536948275,0.3875374762397824,0.36603460641521396,0.9372441360722611,0.9230896707459206,0.8885039631899185,0.698443975085264,8
9,12660,0.3432725452204451,0.07717919863148417,0.26609334636238324,0.4765865743913545,0.9759281200631914,0.9443967219589263,0.9857228199098501,0.7793095993067883,0.7120550365159006,0.2998160229939403,0.3754906311179652,0.3674837490825942,0.9414007867132865,0.9251247450466199,0.8876874598862962,0.7147752854629577,9
