epoch,step,n_vis,train_loss,train_acc,train_ppl,train_te,val_loss,val_acc,val_ppl,val_te,sav_version
0,317,0,2.0069166196257533,0.512632141283169,9.093058990863902,0.3599866080383305,1.9040732874589807,0.5355187468306288,7.794635189812766,0.3220285027283672,1
1,634,0,1.834091267375164,0.5482292488170348,6.312113945199772,0.31330347386538954,1.838796433280496,0.5443169212728195,7.17786286875719,0.2944217192257569,2
2,951,0,1.7735915274274086,0.5500171428488594,5.938214266448505,0.3034225701500602,1.7820341797435986,0.5439453125,6.703244548078919,0.3101572365838299,3
3,1268,0,1.7222626645482302,0.5550672883999815,5.630100040738084,0.29437935660611136,1.7122452960294836,0.5560122971602435,6.249272838347326,0.2712640164278466,4
4,1585,0,1.6590691609337502,0.570009655084431,5.298997970072132,0.2841281943448025,1.5987376255147598,0.588041962474645,5.492393781894895,0.25279516630592275,5
5,1902,0,1.5815337339786324,0.5906026744293934,4.896571334618551,0.27109319745865507,1.547054830719443,0.6010922445486815,5.143218559860648,0.2605162638058518,6
6,2219,0,1.5433018357971866,0.5985291943078491,4.706584765688889,0.2644951896490522,1.5315856793347526,0.6025422318711966,5.101321409061102,0.2563198694110555,7
7,2536,0,1.5176739083479631,0.6041826376646868,4.591704622079518,0.25984891405991795,1.5274052269318525,0.60583005831643,4.962188606990903,0.2535763405939364,8
8,2853,0,1.4961188614180412,0.6079493890912043,4.489030909972443,0.2565418859965094,1.5066969044068281,0.6085862227434077,4.907975243080798,0.25113842104968653,9
9,3170,0,1.4791739024574448,0.6108602303303025,4.413936615785388,0.2537092269479169,1.522137719042161,0.6052294624746452,4.948717580978057,0.2407577006855277,10
10,3487,0,1.4614724887282315,0.6143028260693083,4.340397746138884,0.25100934190836643,1.4926159802605123,0.6107524879563895,4.79363006633739,0.23747819287860228,11
11,3804,0,1.4461110134606106,0.6172308101572654,4.272616408355108,0.2484344441815928,1.4837988054051119,0.6146036701318458,4.7549505428803265,0.23690270521705176,12
12,4121,0,1.428316054660063,0.6200384318751159,4.196851447560915,0.24582566207230927,1.4806428165996777,0.6117813450811359,4.78728803603475,0.23680951289286714,13
13,4438,0,1.4154429055914894,0.6223402127017994,4.142204986420909,0.2436864002982214,1.474815912106458,0.6130867298427991,4.727440843400159,0.2392135035344166,14
14,4755,0,1.4010011198392802,0.6247295199132495,4.078082340506754,0.24200265415204295,1.4726720943170435,0.6171562024594319,4.699174809357299,0.21706351811747118,15
15,5072,0,1.3853461843935848,0.6269555170254221,4.015531799710489,0.23915009216805955,1.4920892750515657,0.6158488368407709,4.899493273805591,0.21705944565586383,16
16,5389,0,1.37190699614937,0.6293738547272218,3.9646497207178046,0.23788837193550832,1.4764940002385307,0.6196429703346855,4.745732797570231,0.2182310316078314,17
17,5706,0,1.3563212949770858,0.6325847864283721,3.901497446997,0.2351200119806555,1.4873431149651022,0.6178368249239351,4.778986836537026,0.20648329348777297,18
18,6023,0,1.339059371677483,0.6353238367507886,3.832269913824617,0.2330082058160777,1.485136561533984,0.6174905711206895,4.772836372568463,0.20864283048265989,19
19,6340,0,1.3253815655452597,0.6372524253688069,3.7826871860187405,0.2304251334720359,1.4930352042703068,0.6158329899847871,4.850914768534274,0.2191432994282694,20
